iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
94,96256,32.48237,113.4,0.8,0.92,1.192149,0.096599,23.322457,0.00018,3132,0.14658,-0.01,0.00837,-0.00212,-0.00197,-0.01189,0.37588
95,97280,29.33143,107.25,0.75,0.91,1.127595,-0.000532,21.203599,0.000188,3231,0.15289,-0.01,0.01005,-0.00028,-0.00128,-0.01451,0.2748
96,98304,35.31774,122.22222,1.0,0.91,1.107827,0.002472,14.810448,0.000239,3368,0.13883,-0.01,0.0105,0.00065,-0.0018,0.00249,0.37596
97,99328,30.44553,105.375,0.875,0.9,1.16569,-0.035,21.242421,0.000296,3299,0.14406,-0.01,0.00825,-0.00032,-0.00234,-0.00668,0.29032
98,100352,22.11262,126.75,0.625,0.87,1.119548,-7.8e-05,28.575237,0.000234,3470,0.13312,-0.01,0.00768,-0.00023,-0.00096,-0.02465,0.23992
99,101376,28.30715,140.125,0.75,0.86,1.177177,-0.071486,16.772023,0.000266,3646,0.14475,-0.01,0.00962,-0.00155,-0.00099,-0.00705,0.29491
100,102400,32.16386,131.28571,0.85714,0.85,1.225286,-0.026584,17.360061,0.000274,3703,0.1296,-0.01,0.00987,-0.00257,-0.00144,-0.00614,0.30246
101,103424,22.13618,133.14286,0.71429,0.83,1.190637,0.010233,16.747011,0.000598,3370,0.15148,-0.01,0.00783,-0.0024,-0.00214,-0.00797,0.19235
102,104448,34.44659,136.0,0.85714,0.83,1.240426,-0.000925,20.325116,0.000475,3548,0.13546,-0.01,0.00838,-0.00488,-0.0008,-0.00575,0.29988
103,105472,29.06635,143.33333,0.77778,0.82,1.140668,0.083419,23.842376,0.000777,3328,0.13418,-0.01,0.00857,5e-05,-0.0015,-0.00661,0.31544
104,106496,35.09295,114.72727,1.0,0.83,1.123836,-0.000397,20.465999,0.000144,3311,0.13011,-0.01,0.00987,-0.00065,-0.0012,0.00263,0.44131
105,107520,31.81543,111.0,0.8,0.83,1.107232,-0.001088,26.643562,0.000294,3325,0.13434,-0.01,0.00985,-0.00065,-0.00139,-0.01329,0.37738
106,108544,43.08947,109.5,1.0,0.84,1.156392,-0.000753,13.658148,0.000262,3171,0.13826,-0.01,0.00935,-0.00254,-0.00153,0.00268,0.37085
107,109568,25.77132,107.0,0.75,0.84,1.151422,-0.000191,31.600691,0.000131,3230,0.15271,-0.01,0.00876,0.00048,-0.00234,-0.04395,0.25074
108,110592,29.65573,104.77778,0.77778,0.82,1.134782,-0.000749,25.511208,0.000139,3354,0.14542,-0.01,0.01038,0.00037,-0.00139,-0.01387,0.3281
109,111616,42.27566,122.0,0.88889,0.82,1.143318,-0.000106,19.789571,0.000373,3279,0.13685,-0.01,0.00914,-0.00038,-0.00167,0.00369,0.46343
110,112640,32.63614,122.0,1.0,0.85,1.171596,-0.083076,18.051423,0.000307,4097,0.14529,-0.01,0.00869,-0.00549,-0.00171,-0.0003,0.24779
