iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
120,122880,55.08173,81.25,0.875,0.66,2.006618,-7.6e-05,104.033465,0.000105,1746,0.17461,0.25,0.97143,0.29672,3.50775,-0.01,0.02372,-0.00591,-0.01925,0.01435,0.57645
121,123904,19.28387,133.28571,0.71429,0.66,2.027733,-0.035879,38.870247,0.000101,1804,0.16404,0.71429,1.0,0.38973,3.23654,-0.01,0.01704,-0.00639,-0.02433,0.00988,0.19025
122,124928,40.89567,87.2,0.8,0.67,2.035885,-0.000993,49.857549,0.000224,1825,0.16936,0.6,0.92308,0.33121,3.11925,-0.01,0.01779,-0.00542,-0.02657,0.00832,0.262
123,125952,29.00335,205.44444,0.55556,0.65,2.028452,-0.001104,61.746823,0.000328,1745,0.16777,0.55556,0.90991,0.30787,4.17458,-0.01,0.01501,-0.00668,-0.02265,0.00544,0.39442
124,126976,30.28187,90.5,0.66667,0.65,1.98692,-0.038456,60.675379,0.000295,1835,0.17489,0.66667,0.92308,0.20161,4.62165,-0.01,0.01422,-0.00697,-0.01989,0.00682,0.25034
125,128000,56.21681,76.5,1.0,0.67,1.994186,0.067239,45.805449,0.000377,1963,0.16033,0.0,0.875,0.22996,5.57512,-0.01,0.01404,-0.00771,-0.02334,0.00852,0.32595
126,129024,31.7993,199.5,0.7,0.68,2.006848,-0.000247,70.799095,0.000169,1667,0.15318,0.7,0.97087,0.27425,3.87021,-0.01,0.02533,-0.00547,-0.02429,0.01153,0.44707
127,130048,33.86289,105.44444,0.77778,0.7,1.973828,-0.158571,102.47598,0.000249,1789,0.14865,0.66667,0.97727,0.30755,4.22901,-0.01,0.02405,-0.00521,-0.02417,0.01485,0.42367
128,131072,37.12466,211.2,0.6,0.7,1.974107,-0.000535,54.571671,0.000153,1868,0.16048,0.4,0.9661,0.2183,5.24198,-0.01,0.01598,-0.00908,-0.02588,0.00974,0.28006
129,132096,44.25213,107.57143,1.0,0.73,1.991205,-0.046919,70.766628,0.000535,1886,0.1672,0.42857,0.86957,0.35897,3.25563,-0.01,0.02378,-0.00807,-0.01758,0.01607,0.43934
