iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
134,137216,39.52956,129.375,1.0,0.88,1.385187,-0.050123,20.882918,0.000774,3216,0.14846,-0.01,0.00922,-0.00303,-0.00215,-0.00833,0.37474
135,138240,33.09591,132.875,1.0,0.88,1.345839,5.2e-05,20.240235,0.000589,3435,0.1657,-0.01,0.00998,-0.01157,-0.00219,0.0015,0.33471
136,139264,26.77102,108.0,0.8,0.88,1.318517,-0.001627,23.434836,0.000407,3101,0.1583,-0.01,0.01063,-0.00056,-0.00277,-0.02118,0.31909
137,140288,32.22447,112.22222,1.0,0.89,1.35632,-0.004534,17.563067,0.001472,3205,0.15246,-0.01,0.00926,-0.00019,-0.00216,-0.03599,0.37199
138,141312,27.77991,114.33333,0.88889,0.88,1.279024,-0.106142,20.504744,0.00099,3221,0.15195,-0.01,0.00849,-0.00245,-0.0031,-0.00585,0.30322
139,142336,32.86606,106.2,0.8,0.87,1.380104,0.022577,32.101062,0.00034,3167,0.15147,-0.01,0.00816,-0.00075,-0.00297,-0.01328,0.37968
140,143360,25.92151,113.88889,0.88889,0.89,1.298123,-0.025526,26.732909,0.0016,3195,0.15451,-0.01,0.00869,-0.00102,-0.00309,-0.01584,0.28615
141,144384,27.86361,103.57143,0.71429,0.87,1.386793,-0.014384,15.789851,0.001662,3315,0.15304,-0.01,0.00833,0.00055,-0.00279,-0.0153,0.23687
142,145408,33.82776,133.125,0.875,0.87,1.332991,0.052872,18.014593,0.00168,3135,0.16086,-0.01,0.00731,-0.00074,-0.00267,-0.01198,0.3155
143,146432,21.80898,121.5,0.625,0.86,1.287409,-0.040179,31.10322,0.000623,3198,0.15011,-0.01,0.00798,-0.00237,-0.00262,-0.04703,0.26691
144,147456,24.41704,148.5,0.75,0.84,1.367293,-0.00024,17.002328,0.000602,3221,0.1504,-0.01,0.0061,-0.00174,-0.00322,-0.01526,0.24046
145,148480,38.18034,131.88889,1.0,0.86,1.37695,0.00033,19.541516,0.001128,3149,0.14684,-0.01,0.00765,-0.00182,-0.00229,-0.0182,0.40413
146,149504,27.38667,110.0,0.875,0.85,1.354738,-0.002058,19.513559,0.000669,3256,0.14747,-0.01,0.00728,-0.0009,-0.00313,-0.02798,0.27985
147,150528,48.52055,110.4,1.0,0.85,1.367629,-0.000708,14.566298,0.000819,2939,0.14666,-0.01,0.0088,-0.00104,-0.00209,0.00423,0.49249
148,151552,31.22653,115.88889,1.0,0.87,1.32619,0.006759,22.097198,0.00077,3340,0.15892,-0.01,0.00858,-0.00423,-0.00313,-0.02181,0.35838
149,152576,26.71304,105.0,0.77778,0.85,1.37261,-0.059581,30.355247,0.002518,3106,0.15032,-0.01,0.007,-0.00671,-0.00206,-0.03912,0.32333
150,153600,25.70601,151.28571,0.85714,0.85,1.403961,-0.001207,20.566833,0.000929,3179,0.169,-0.01,0.00692,-0.01343,-0.00264,-0.00571,0.25366
151,154624,40.73737,123.71429,1.0,0.87,1.439251,0.019657,11.894006,0.002902,3126,0.15831,-0.01,0.00838,-0.01006,-0.0024,0.00434,0.3248
