iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
97,99328,52.85167,106.77778,0.88889,0.85,0.631014,0.08508,20.129304,0.001355,2496,0.15755,-0.01,0.05277,0.00011,-0.00144,-0.00634,0.46935
98,100352,60.0545,83.4,1.0,0.87,0.723711,0.000798,12.186356,0.001815,2585,0.17947,-0.01,0.05123,-0.00084,-0.00275,0.01264,0.27717
99,101376,40.24973,183.71429,0.71429,0.87,0.682446,-0.068667,20.785671,0.000434,2534,0.19177,-0.01,0.04822,-0.00141,-0.00371,-0.04195,0.25947
100,102400,33.05645,166.0,0.71429,0.85,0.872554,-0.042935,30.098265,0.000664,2523,0.1742,-0.01,0.04596,-0.00047,-0.00315,-0.01231,0.24143
101,103424,46.13495,140.1,0.8,0.83,0.741956,-0.000397,28.392772,0.000881,2361,0.17813,-0.01,0.04625,-2e-05,-0.00288,-0.02672,0.42907
102,104448,51.86395,79.0,1.0,0.85,0.718893,0.054559,20.990568,0.001993,2553,0.18256,-0.01,0.04876,0.00029,-0.00232,0.02579,0.59309
103,105472,53.73636,96.46154,0.92308,0.86,0.680731,0.000112,22.860007,0.001067,2330,0.17029,-0.01,0.05133,5e-05,-0.00096,0.00064,0.64828
104,106496,52.419,75.8125,1.0,0.88,0.696188,-0.000658,25.774307,0.000541,2342,0.16913,-0.01,0.05064,0.00046,-0.00143,-0.0223,0.85028
105,107520,62.76679,76.14286,1.0,0.9,0.707281,0.000486,14.393485,0.000516,2394,0.16895,-0.01,0.05231,-0.00038,-0.0022,0.02271,0.39262
106,108544,62.90714,75.0,1.0,0.91,0.719588,0.000971,11.612359,0.001163,2407,0.17773,-0.01,0.05289,-0.00043,-0.00285,0.01763,0.39293
107,109568,49.02045,151.625,0.75,0.9,0.758274,0.001163,19.185443,0.000945,2384,0.18656,-0.01,0.04991,-0.00137,-0.0027,-0.01268,0.33743
108,110592,42.4375,160.14286,0.71429,0.88,0.793277,0.035169,19.934049,0.00113,2376,0.1895,-0.01,0.04431,-0.00067,-0.00246,-0.01154,0.25463
